<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.18,1,23/10/18,15:56,111560.0,111590.0,111480.0,111510.0,1151
SPFB.RTS-12.18,1,23/10/18,15:57,111520.0,111580.0,111500.0,111500.0,696
SPFB.RTS-12.18,1,23/10/18,15:58,111510.0,111520.0,111500.0,111510.0,377
SPFB.RTS-12.18,1,23/10/18,15:59,111500.0,111570.0,111480.0,111570.0,764
SPFB.RTS-12.18,1,23/10/18,16:00,111570.0,111650.0,111560.0,111590.0,1053
SPFB.RTS-12.18,1,23/10/18,16:01,111590.0,111600.0,111430.0,111490.0,1117
SPFB.RTS-12.18,1,23/10/18,16:02,111490.0,111490.0,111340.0,111380.0,1450
SPFB.RTS-12.18,1,23/10/18,16:03,111370.0,111380.0,111260.0,111260.0,1518
SPFB.RTS-12.18,1,23/10/18,16:04,111260.0,111320.0,111240.0,111300.0,1187
SPFB.RTS-12.18,1,23/10/18,16:05,111300.0,111310.0,111240.0,111270.0,619
SPFB.RTS-12.18,1,23/10/18,16:06,111270.0,111290.0,111210.0,111270.0,1458
SPFB.RTS-12.18,1,23/10/18,16:07,111280.0,111340.0,111260.0,111280.0,1191
SPFB.RTS-12.18,1,23/10/18,16:08,111270.0,111320.0,111270.0,111270.0,529
SPFB.RTS-12.18,1,23/10/18,16:09,111270.0,111320.0,111270.0,111300.0,331
SPFB.RTS-12.18,1,23/10/18,16:10,111310.0,111420.0,111300.0,111380.0,1353
SPFB.RTS-12.18,1,23/10/18,16:11,111380.0,111400.0,111300.0,111300.0,806
SPFB.RTS-12.18,1,23/10/18,16:12,111310.0,111320.0,111220.0,111230.0,821
SPFB.RTS-12.18,1,23/10/18,16:13,111240.0,111330.0,111220.0,111220.0,893
SPFB.RTS-12.18,1,23/10/18,16:14,111230.0,111310.0,111220.0,111270.0,627
SPFB.RTS-12.18,1,23/10/18,16:15,111260.0,111290.0,111170.0,111170.0,1204
SPFB.RTS-12.18,1,23/10/18,16:16,111170.0,111170.0,111020.0,111030.0,3141
SPFB.RTS-12.18,1,23/10/18,16:17,111020.0,111060.0,110970.0,110980.0,1558
SPFB.RTS-12.18,1,23/10/18,16:18,110970.0,111000.0,110940.0,110960.0,761
SPFB.RTS-12.18,1,23/10/18,16:19,110950.0,110970.0,110890.0,110940.0,1034
SPFB.RTS-12.18,1,23/10/18,16:20,110930.0,111000.0,110920.0,110990.0,1196
SPFB.RTS-12.18,1,23/10/18,16:21,110980.0,111010.0,110900.0,110980.0,1581
SPFB.RTS-12.18,1,23/10/18,16:22,110980.0,111140.0,110970.0,111130.0,1509
SPFB.RTS-12.18,1,23/10/18,16:23,111120.0,111140.0,111060.0,111120.0,1188
